environment,obstacleTrain,obstacleTest,seedTraining,seedTesting,score,success
half_cheetah,2,0,4,0,67.2449,0.0
half_cheetah,2,0,3,9,72.9676,0.0
half_cheetah,2,0,3,8,90.9826,0.0
half_cheetah,2,0,4,1,55.8635,0.0
half_cheetah,2,0,4,2,67.6946,0.0
half_cheetah,2,0,4,3,46.1779,0.0
half_cheetah,2,0,4,4,69.3289,0.0
half_cheetah,2,0,4,5,66.3778,0.0
half_cheetah,2,0,4,6,49.5911,0.0
half_cheetah,2,0,4,7,47.5154,0.0
half_cheetah,2,1,0,0,47.2873,0.0
half_cheetah,2,0,4,9,72.4226,0.0
half_cheetah,2,0,4,8,46.4535,0.0
half_cheetah,2,1,0,1,63.1941,0.0
half_cheetah,2,1,0,2,67.0471,0.0
half_cheetah,2,1,0,3,54.0893,0.0
half_cheetah,2,1,0,4,58.099,0.0
half_cheetah,2,1,0,7,39.7573,0.0
half_cheetah,2,1,0,6,58.9127,0.0
half_cheetah,2,1,0,5,61.9316,0.0
half_cheetah,2,1,0,8,53.06,0.0
half_cheetah,2,1,0,9,71.1448,0.0
half_cheetah,2,1,1,0,84.8063,0.0
half_cheetah,2,1,1,1,94.1701,0.0
half_cheetah,2,1,1,2,93.391,0.0
half_cheetah,2,1,1,4,88.666,0.0
half_cheetah,2,1,1,3,77.6799,0.0
half_cheetah,2,1,1,7,77.4831,0.0
half_cheetah,2,1,1,6,78.3524,0.0
half_cheetah,2,1,1,5,78.4757,0.0
half_cheetah,2,1,1,9,94.129,0.0
half_cheetah,2,1,1,8,62.1673,0.0
half_cheetah,2,1,2,0,65.6504,0.0
half_cheetah,2,1,2,1,41.3223,0.0
half_cheetah,2,1,2,2,54.5141,0.0
half_cheetah,2,1,2,3,57.7539,0.0
half_cheetah,2,1,2,4,60.3888,0.0
half_cheetah,2,1,2,5,60.7988,0.0
half_cheetah,2,1,2,6,64.1786,0.0
half_cheetah,2,1,2,7,42.0798,0.0
half_cheetah,2,1,2,9,72.4994,0.0
half_cheetah,2,1,3,0,59.6356,0.0
half_cheetah,2,1,2,8,65.1852,0.0
